authorId,paperId
51453887,e936f248b2c0489316ed1521656af2564c3502c3
144382067,e936f248b2c0489316ed1521656af2564c3502c3
3273875,e936f248b2c0489316ed1521656af2564c3502c3
1705627,8dd0c1e955c66092ff951941a151336211e6e171
2272573909,8dd0c1e955c66092ff951941a151336211e6e171
2230363777,8dd0c1e955c66092ff951941a151336211e6e171
2545335,8dd0c1e955c66092ff951941a151336211e6e171
102110744,bab5e35001757719d0f8338f94dde2860dae784a
114963616,bab5e35001757719d0f8338f94dde2860dae784a
32564601,bab5e35001757719d0f8338f94dde2860dae784a
144884729,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
1740145,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
31882681,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
2243689,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
69481862,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
144653389,c07802ed8a25998e9bd44ee1ddbcc63b7eb34060
2216708905,c07802ed8a25998e9bd44ee1ddbcc63b7eb34060
1781982,6548106035c7208ad498730627874a482734b9ac
4029018,6548106035c7208ad498730627874a482734b9ac
2642220,6548106035c7208ad498730627874a482734b9ac
1975953,82e1e8b222aeaca19d45375b31fdc825d1a821b8
2150260680,82e1e8b222aeaca19d45375b31fdc825d1a821b8
2047273066,82e1e8b222aeaca19d45375b31fdc825d1a821b8
2795014,82e1e8b222aeaca19d45375b31fdc825d1a821b8
1861681,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
30119389,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
1411461859,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
9129030,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
1714572,c96fc88631f2b8e2fe192027a8a237445635328c
2202644689,c96fc88631f2b8e2fe192027a8a237445635328c
52190951,c96fc88631f2b8e2fe192027a8a237445635328c
51261170,c96fc88631f2b8e2fe192027a8a237445635328c
48510916,91bda0785eaf642515eefc9ff2ecd7ddbacaccae
34239149,91bda0785eaf642515eefc9ff2ecd7ddbacaccae
143936663,91bda0785eaf642515eefc9ff2ecd7ddbacaccae
65953975,d008893e01fa7f6c5fb01dadf3f97ee96835c303
1682816,d008893e01fa7f6c5fb01dadf3f97ee96835c303
50671515,d008893e01fa7f6c5fb01dadf3f97ee96835c303
35120609,b7034546bee38ba13d3b312fce893a22e33ce4dd
32014410,b7034546bee38ba13d3b312fce893a22e33ce4dd
2113572383,b7034546bee38ba13d3b312fce893a22e33ce4dd
144230535,0df5a4f9cc8a244715fe9968732497d2ac2a7cd1
143605135,0df5a4f9cc8a244715fe9968732497d2ac2a7cd1
6649911,0df5a4f9cc8a244715fe9968732497d2ac2a7cd1
88699989,0f38b3d717e0fcc6eacc9c6e78b252227440e04e
37589439,0f38b3d717e0fcc6eacc9c6e78b252227440e04e
1680265,0f38b3d717e0fcc6eacc9c6e78b252227440e04e
