paperId,keyword
e936f248b2c0489316ed1521656af2564c3502c3,data management
e936f248b2c0489316ed1521656af2564c3502c3,Medicine
e936f248b2c0489316ed1521656af2564c3502c3,Computer Science
e936f248b2c0489316ed1521656af2564c3502c3,Geography
8dd0c1e955c66092ff951941a151336211e6e171,Biology
8dd0c1e955c66092ff951941a151336211e6e171,Medicine
8dd0c1e955c66092ff951941a151336211e6e171,data management
bab5e35001757719d0f8338f94dde2860dae784a,Computer Science
bab5e35001757719d0f8338f94dde2860dae784a,data management
04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd,Computer Science
04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd,Medicine
04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd,data management
c07802ed8a25998e9bd44ee1ddbcc63b7eb34060,machine learning
c07802ed8a25998e9bd44ee1ddbcc63b7eb34060,Computer Science
c07802ed8a25998e9bd44ee1ddbcc63b7eb34060,data management
6548106035c7208ad498730627874a482734b9ac,Business
6548106035c7208ad498730627874a482734b9ac,Computer Science
6548106035c7208ad498730627874a482734b9ac,data management
82e1e8b222aeaca19d45375b31fdc825d1a821b8,data management
82e1e8b222aeaca19d45375b31fdc825d1a821b8,data warehouse
82e1e8b222aeaca19d45375b31fdc825d1a821b8,Computer Science
28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8,Computer Science
28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8,data management
c96fc88631f2b8e2fe192027a8a237445635328c,Computer Science
c96fc88631f2b8e2fe192027a8a237445635328c,Medicine
c96fc88631f2b8e2fe192027a8a237445635328c,data management
91bda0785eaf642515eefc9ff2ecd7ddbacaccae,big data
91bda0785eaf642515eefc9ff2ecd7ddbacaccae,Computer Science
91bda0785eaf642515eefc9ff2ecd7ddbacaccae,data management
d008893e01fa7f6c5fb01dadf3f97ee96835c303,Computer Science
d008893e01fa7f6c5fb01dadf3f97ee96835c303,data management
b7034546bee38ba13d3b312fce893a22e33ce4dd,Computer Science
b7034546bee38ba13d3b312fce893a22e33ce4dd,data management
0df5a4f9cc8a244715fe9968732497d2ac2a7cd1,Computer Science
0df5a4f9cc8a244715fe9968732497d2ac2a7cd1,data management
0f38b3d717e0fcc6eacc9c6e78b252227440e04e,Computer Science
0f38b3d717e0fcc6eacc9c6e78b252227440e04e,data management
9f9afed22cdc73be627932270a9bcae341df99d4,Computer Science
9f9afed22cdc73be627932270a9bcae341df99d4,data management
1ff76ab0fcf22110df62337d462e15d79a2a2593,Computer Science
1ff76ab0fcf22110df62337d462e15d79a2a2593,data management
b795c74a0150ec091003ffbaa5bd7d74487c137b,Computer Science
b795c74a0150ec091003ffbaa5bd7d74487c137b,data management
799d5a8271887adede035644d878c7bd555576df,Computer Science
799d5a8271887adede035644d878c7bd555576df,data management
cd5b4b113d5fa90b5dc5aa372111b89d18df88fb,Computer Science
cd5b4b113d5fa90b5dc5aa372111b89d18df88fb,data management
98b9086750f08a21c8778ab986339321e9caf790,Computer Science
98b9086750f08a21c8778ab986339321e9caf790,data management
8698b15f3152427d1285a995af615fbe7be26c7b,Computer Science
8698b15f3152427d1285a995af615fbe7be26c7b,data management
4b3ebac2e9415d7d1124d6677386f199ab9b3a5f,Computer Science
4b3ebac2e9415d7d1124d6677386f199ab9b3a5f,data management
95a7e4b4d535a9c61a6f466a090a4004ef151b50,machine learning
95a7e4b4d535a9c61a6f466a090a4004ef151b50,Computer Science
95a7e4b4d535a9c61a6f466a090a4004ef151b50,data management
2327e4c7ee7658100dacd5409b2a7f5b49995070,Computer Science
2327e4c7ee7658100dacd5409b2a7f5b49995070,data management
a0134a8e9224c0c22e0dd4751031cae494259973,Computer Science
a0134a8e9224c0c22e0dd4751031cae494259973,data management
22448f32f76a37a422d65f022dcdc628d44d6e52,Computer Science
22448f32f76a37a422d65f022dcdc628d44d6e52,data management
28cc044d5ba938472bc53d87240583982ad21663,Computer Science
28cc044d5ba938472bc53d87240583982ad21663,data management
2737a61f6557fe7bf53a608c668de2eff1f582f0,Computer Science
2737a61f6557fe7bf53a608c668de2eff1f582f0,data management
f93dda715d6de6f3829b7da72a75c24e98e004ce,data management
b05306f0b142e5afb3974b1b79996e5b82653662,Computer Science
b05306f0b142e5afb3974b1b79996e5b82653662,data management
35403052458ed97b33659df3fc930bcd8559d959,Computer Science
35403052458ed97b33659df3fc930bcd8559d959,data management
eebf1a2705bf4ac256d141b0067f1b0ea1dc7632,Computer Science
eebf1a2705bf4ac256d141b0067f1b0ea1dc7632,data management
9727206903eb40d4fa42606711bad3402f2ba9aa,Computer Science
9727206903eb40d4fa42606711bad3402f2ba9aa,data management
cf41991d89301c3c12420d150792cb1163999962,Computer Science
cf41991d89301c3c12420d150792cb1163999962,data management
3590f4d44434c6a9d27441546cf6cbd003a632ce,Computer Science
3590f4d44434c6a9d27441546cf6cbd003a632ce,data management
58395c572e53d5aeee72f0771e339332e0ecb294,Computer Science
58395c572e53d5aeee72f0771e339332e0ecb294,data management
1e2e3184da5f266572984df1f10cbdaa18f19820,Computer Science
1e2e3184da5f266572984df1f10cbdaa18f19820,data management
7b4518707a9e79c0c037f61aecd064d930396122,Computer Science
7b4518707a9e79c0c037f61aecd064d930396122,data management
d5f169880e30e1f76827d72f862555d00b01bed9,indexing
d5f169880e30e1f76827d72f862555d00b01bed9,Computer Science
5b1e1696564e5a3021ac3a501c9deeb6c0fbc637,indexing
5b1e1696564e5a3021ac3a501c9deeb6c0fbc637,Computer Science
7fb7364cf5f9bd48a9dd3a92a5243aae128afc24,indexing
7fb7364cf5f9bd48a9dd3a92a5243aae128afc24,Computer Science
7fb7364cf5f9bd48a9dd3a92a5243aae128afc24,Mathematics
e7cf3c1a584b16d5e15e5fbec7c05762385d669e,indexing
e7cf3c1a584b16d5e15e5fbec7c05762385d669e,Medicine
e7cf3c1a584b16d5e15e5fbec7c05762385d669e,Computer Science
69a2479a49154e3bd51e44e636ab5692ed20b142,indexing
69a2479a49154e3bd51e44e636ab5692ed20b142,Computer Science
9fb01cd85317f84fb4def982a81f19da2571bae1,indexing
9fb01cd85317f84fb4def982a81f19da2571bae1,Computer Science
9fb01cd85317f84fb4def982a81f19da2571bae1,Mathematics
5fe8ed6e2c75a3b352be695f423cc2fac19446fa,indexing
5fe8ed6e2c75a3b352be695f423cc2fac19446fa,Biology
5fe8ed6e2c75a3b352be695f423cc2fac19446fa,Medicine
7f8859a57e35c66164678710187d4374822411d8,indexing
7f8859a57e35c66164678710187d4374822411d8,Biology
7f8859a57e35c66164678710187d4374822411d8,Medicine
c4dd9a19d822c965ce8cde55ab23b8a0b628278a,indexing
c4dd9a19d822c965ce8cde55ab23b8a0b628278a,Medicine
c4dd9a19d822c965ce8cde55ab23b8a0b628278a,Computer Science
75b868e844e58db707fb5dbf7acbe2e26ba8c122,big data
75b868e844e58db707fb5dbf7acbe2e26ba8c122,indexing
75b868e844e58db707fb5dbf7acbe2e26ba8c122,Computer Science
c2872fb23b02597034a179f4adb82a00d6ffda8d,indexing
c2872fb23b02597034a179f4adb82a00d6ffda8d,Computer Science
81b7e5635241f0fae8eac9f703f604a1a0073038,big data
81b7e5635241f0fae8eac9f703f604a1a0073038,indexing
81b7e5635241f0fae8eac9f703f604a1a0073038,Computer Science
81b7e5635241f0fae8eac9f703f604a1a0073038,Mathematics
ddeea66c9550f99f9a6768d4b240a9fe9957487d,indexing
ddeea66c9550f99f9a6768d4b240a9fe9957487d,Computer Science
ddeea66c9550f99f9a6768d4b240a9fe9957487d,Mathematics
b538999f458a12df98d197befcc4426525cf8237,indexing
b538999f458a12df98d197befcc4426525cf8237,Computer Science
728211a7edfe536299670f34714de1b426d969dc,indexing
728211a7edfe536299670f34714de1b426d969dc,Computer Science
443b22d027bf81e7c9ab81af3338c26e363bf769,Sociology
443b22d027bf81e7c9ab81af3338c26e363bf769,indexing
f39d3e88cce063ccd3ca01100efd44dcabc9d3b4,indexing
f39d3e88cce063ccd3ca01100efd44dcabc9d3b4,Computer Science
c9304811f55fbafb33b4d28dc7b8601394c3310e,indexing
c9304811f55fbafb33b4d28dc7b8601394c3310e,Computer Science
d1281ad32607fb0ade628ba1b32c8ae7f06ad24e,indexing
d1281ad32607fb0ade628ba1b32c8ae7f06ad24e,Biology
d1281ad32607fb0ade628ba1b32c8ae7f06ad24e,Medicine
7883f88428bb98508afeda2e65098ac56b640ca7,indexing
7883f88428bb98508afeda2e65098ac56b640ca7,Computer Science
d05ce7d99e08bb03bfd05d0de2de844a71bde6cf,indexing
d05ce7d99e08bb03bfd05d0de2de844a71bde6cf,Computer Science
001e999b990a73428bf94bf758a5c510891ff8c0,indexing
001e999b990a73428bf94bf758a5c510891ff8c0,Computer Science
8c05273278e0eedd2c806215aa17cfab7fc1da0c,indexing
8c05273278e0eedd2c806215aa17cfab7fc1da0c,Computer Science
6641c841fdbb6019578f74f155614b8bfe5d0ba0,indexing
6641c841fdbb6019578f74f155614b8bfe5d0ba0,Computer Science
f2342368c2dbce3be28b5298f6fc67890416c405,indexing
f2342368c2dbce3be28b5298f6fc67890416c405,Computer Science
f2342368c2dbce3be28b5298f6fc67890416c405,Mathematics
e44262fec6b4997b29a8207f4d580a63d31545c5,indexing
e44262fec6b4997b29a8207f4d580a63d31545c5,Computer Science
64dce74b6914efc4a40c11fae8a929499e004340,indexing
64dce74b6914efc4a40c11fae8a929499e004340,Computer Science
05ce1b6b83f1162b9be57c038c7600541ac56166,indexing
05ce1b6b83f1162b9be57c038c7600541ac56166,Computer Science
05ce1b6b83f1162b9be57c038c7600541ac56166,Mathematics
e8cd4f85bd9948db0a3296c65301b278852f3a7b,indexing
e8cd4f85bd9948db0a3296c65301b278852f3a7b,Computer Science
762d3e4453e4173527d2e0436dd9d32a218076dc,indexing
762d3e4453e4173527d2e0436dd9d32a218076dc,Computer Science
81c103559f508ea2896a14f308a67be90b91706b,indexing
81c103559f508ea2896a14f308a67be90b91706b,Computer Science
1c8b5b018f61c8170554a2cd38b689f3b1e5eab2,indexing
1c8b5b018f61c8170554a2cd38b689f3b1e5eab2,Computer Science
1d0d84a1f4e8de75151d88bd152816f18109d032,indexing
1d0d84a1f4e8de75151d88bd152816f18109d032,Computer Science
3ca3f4273e70d719858550d1639ab28d3dc67a7a,indexing
